STT,SBD,MA_TINH,TOAN,VAN,LI,HOA,SINH,SU,DIA,KTPL,T_ANH,A00,A01,B00,C00,D01
591562,28021479,28,1.95,7.0,,,,8.5,6.75,,,,,,22.25,
591563,28021480,28,3.25,8.0,,,,8.0,9.5,,,,,,25.5,
591564,28021481,28,3.25,6.0,,,,5.85,5.25,,,,,,17.1,
591565,28021482,28,6.25,7.0,6.75,5.75,,,,,,18.75,,,,
591566,28021483,28,4.5,6.5,7.25,4.1,,,,,,15.85,,,,
591567,28021484,28,2.85,6.75,,,,,7.0,7.25,,,,,,
591568,28021485,28,3.75,7.25,,,,,5.2,8.5,,,,,,
591569,28021486,28,4.25,7.5,,,,,6.5,7.25,,,,,,
591570,28021487,28,7.5,6.0,5.35,3.85,,,,,,16.7,,,,
591571,28021488,28,4.5,7.5,,,,8.25,9.25,,,,,,25.0,
591572,28021489,28,2.35,7.5,,,,,5.25,8.0,,,,,,
591573,28021490,28,4.35,8.25,6.75,5.35,,,,,,16.45,,,,
591574,28021491,28,5.85,9.0,5.5,,,,,,5.75,,17.1,,,20.6
591575,28021492,28,3.5,8.0,,,,,2.8,7.5,,,,,,
591576,28021493,28,3.85,6.75,,,,,7.2,8.75,,,,,,
591577,28021494,28,9.0,7.25,8.5,8.5,,,,,,26.0,,,,
591578,28021495,28,6.75,6.5,7.75,5.75,,,,,,20.25,,,,
591579,28021496,28,,7.75,,,,8.0,6.75,,,,,,22.5,
591580,28021497,28,4.0,7.25,5.75,,,5.6,,,,,,,,
591581,28021498,28,7.5,8.25,7.75,4.5,,,,,,19.75,,,,
591582,28021499,28,3.6,7.75,6.5,,,6.0,,,,,,,,
591583,28021500,28,4.25,6.75,,,,,6.0,5.85,,,,,,
591584,28021501,28,3.75,7.0,,,,7.5,8.5,,,,,,23.0,
591585,28021502,28,3.75,7.5,,,,7.75,8.75,,,,,,24.0,
591586,28021503,28,4.0,7.75,,,,5.75,,,3.5,,,,,15.25
591587,28021504,28,5.0,6.5,5.5,3.75,,,,,,14.25,,,,
591588,28021505,28,6.25,7.75,,,,6.5,8.75,,,,,,23.0,
591589,28021506,28,6.1,8.0,,,,,9.0,8.75,,,,,,
591590,28021507,28,6.75,7.5,8.25,5.25,,,,,,20.25,,,,
591591,28021508,28,4.45,8.0,6.1,5.0,,,,,,15.55,,,,
591592,28021509,28,5.5,7.75,8.5,,,,,,5.5,,19.5,,,18.75
591593,28021510,28,4.25,7.25,4.75,,,7.25,,,,,,,,
591594,28021511,28,7.5,7.75,7.75,6.5,,,,,,21.75,,,,
591595,28021512,28,6.25,6.75,6.75,3.75,,,,,,16.75,,,,
591596,28021513,28,5.75,7.0,,,,7.1,7.6,,,,,,21.7,
591597,28021514,28,4.25,8.5,,,,8.25,9.25,,,,,,26.0,
591598,28021515,28,3.0,7.0,,,,8.25,8.5,,,,,,23.75,
591599,28021516,28,5.85,8.5,8.0,4.75,,,,,,18.6,,,,
591600,28021517,28,4.75,8.5,,,,,9.25,8.75,,,,,,
591601,28021518,28,3.6,8.25,,,,8.5,8.75,,,,,,25.5,
591602,28021519,28,4.75,7.5,,,,6.75,9.5,,,,,,23.75,
591603,28021520,28,5.5,7.25,,,,7.25,8.25,,,,,,22.75,
591604,28021521,28,3.6,7.5,,,,,5.0,7.25,,,,,,
591605,28021522,28,2.85,7.5,,,,6.0,9.0,,,,,,22.5,
591606,28021523,28,7.0,7.0,8.75,7.5,,,,,,23.25,,,,
591607,28021524,28,4.85,7.0,4.6,3.6,,,,,,13.049999999999999,,,,
591608,28021525,28,8.0,6.75,8.5,8.25,,,,,,24.75,,,,
591609,28021526,28,3.2,7.5,,,,,7.35,7.75,,,,,,
591610,28021527,28,5.1,7.25,,,,,6.5,,5.75,,,,,18.1
591611,28021528,28,6.0,6.75,6.5,6.75,,,,,,19.25,,,,
591612,28021529,28,4.35,7.75,6.5,4.75,,,,,,15.6,,,,
591613,28021530,28,4.5,6.75,,,,,6.0,8.0,,,,,,
591614,28021531,28,6.5,7.75,8.5,5.25,,,,,,20.25,,,,
591615,28021532,28,4.1,6.75,,,,6.7,6.1,,,,,,19.549999999999997,
591616,28021533,28,4.35,7.5,,,,,7.0,7.75,,,,,,
591617,28021534,28,4.0,8.0,,,,6.5,7.75,,,,,,22.25,
591618,28021535,28,4.0,8.0,,,,,4.75,6.35,,,,,,
591619,28021536,28,4.25,7.5,6.25,3.45,,,,,,13.95,,,,
591620,28021537,28,3.5,7.0,5.5,4.0,,,,,,13.0,,,,
591621,28021538,28,5.75,8.0,,,,7.5,9.0,,,,,,24.5,
591622,28021539,28,7.0,6.25,8.75,9.25,,,,,,25.0,,,,
591623,28021540,28,2.6,7.25,6.75,,,7.0,,,,,,,,
591624,28021541,28,6.0,8.0,,,,,,8.0,3.5,,,,,17.5
591625,28021542,28,4.25,8.0,,,,,8.25,8.25,,,,,,
591626,28021543,28,4.1,7.75,,,,4.85,5.1,,,,,,17.7,
591627,28021544,28,3.85,7.75,4.85,,,,,,3.25,,11.95,,,14.85
591628,28021545,28,3.35,8.0,,,,6.25,6.75,,,,,,21.0,
591629,28021546,28,4.5,9.25,,,,9.0,,,8.25,,,,,22.0
591630,28021547,28,2.95,7.75,,,,,8.0,9.25,,,,,,
591631,28021548,28,5.6,7.75,5.6,4.5,,,,,,15.7,,,,
591632,28021549,28,2.45,7.5,,,,6.25,6.5,,,,,,20.25,
591633,28021550,28,3.35,7.5,,,,4.85,,6.85,,,,,,
591634,28021551,28,8.0,8.25,6.25,6.1,,,,,,20.35,,,,
591635,28021552,28,4.25,8.25,,,,7.0,6.6,,,,,,21.85,
591636,28021553,28,8.0,7.25,8.75,6.5,,,,,,23.25,,,,
591637,28021554,28,7.5,8.75,8.25,,,,,,6.0,,21.75,,,22.25
591638,28021555,28,9.0,8.0,,8.25,8.5,,,,,,,25.75,,
591639,28021556,28,8.0,9.0,,,,7.85,,,5.0,,,,,22.0
591640,28021557,28,5.35,8.75,,,,,9.5,,3.75,,,,,17.85
591641,28021558,28,7.25,8.75,,7.0,,,,,6.5,,,,,22.5
591642,28021559,28,3.5,7.5,,,,8.5,9.5,,,,,,25.5,
591643,28021560,28,3.2,9.0,,,,,7.0,7.75,,,,,,
591644,28021561,28,4.35,8.75,,,,7.25,,,3.0,,,,,16.1
591645,28021562,28,7.5,8.75,,9.75,8.25,,,,,,,25.5,,
591646,28021563,28,3.6,9.5,,,,7.5,8.25,,,,,,25.25,
591647,28021564,28,4.5,8.75,,,,,,9.75,4.75,,,,,18.0
591648,28021565,28,8.0,9.25,,,,7.0,,,7.75,,,,,25.0
591649,28021566,28,7.75,6.5,7.35,7.5,,,,,,22.6,,,,
591650,28021567,28,4.25,8.5,,,,8.0,9.0,,,,,,25.5,
591651,28021568,28,3.1,6.25,,,,,4.0,5.5,,,,,,
591652,28021569,28,8.5,8.25,9.0,9.5,,,,,,27.0,,,,
591653,28021570,28,4.0,7.0,,,,4.85,,7.25,,,,,,
591654,28021571,28,4.75,8.75,,,,8.5,7.6,,,,,,24.85,
591655,28021572,28,4.2,8.5,,4.0,,,,,4.25,,,,,16.95
591656,28021573,28,4.5,8.0,,,,7.5,9.0,,,,,,24.5,
591657,28021574,28,6.5,7.75,7.0,5.1,,,,,,18.6,,,,
591658,28021575,28,6.5,9.25,,,,6.35,,,6.0,,,,,21.75
591659,28021576,28,3.25,7.0,5.75,3.1,,,,,,12.1,,,,
591660,28021577,28,3.75,7.0,,,,7.0,,8.25,,,,,,
591661,28021578,28,8.5,8.0,,9.0,9.75,,,,,,,27.25,,
591662,28021579,28,2.85,7.0,,,,5.25,,7.5,,,,,,
591663,28021580,28,6.75,6.25,6.0,5.2,,,,,,17.95,,,,
591664,28021581,28,4.1,8.5,,,,,,7.75,5.0,,,,,17.6
591665,28021582,28,7.5,8.5,8.75,,,,,,6.0,,22.25,,,22.0
591666,28021583,28,7.25,8.75,,,,7.1,,,7.25,,,,,23.25
591667,28021584,28,2.45,8.25,,,,5.0,6.75,,,,,,20.0,
591668,28021585,28,5.5,8.75,,,,,,6.85,4.0,,,,,18.25
591669,28021586,28,9.0,9.25,,,,9.25,,,7.25,,,,,25.5
591670,28021587,28,3.35,7.75,3.85,3.7,,,,,,10.9,,,,
591671,28021588,28,3.0,7.5,,,,9.0,7.0,,,,,,23.5,
591672,28021589,28,7.5,8.25,6.5,5.0,,,,,,19.0,,,,
591673,28021590,28,8.0,7.0,9.0,8.0,,,,,,25.0,,,,
591674,28021591,28,2.95,8.25,,,,8.25,7.0,,,,,,23.5,
591675,28021592,28,7.25,8.25,,7.0,6.25,,,,,,,20.5,,
591676,28021593,28,8.5,9.0,,9.5,7.35,,,,,,,25.35,,
591677,28021594,28,5.0,7.25,,,,7.0,,9.25,,,,,,
591678,28021595,28,3.45,8.0,,,,8.0,6.75,,,,,,22.75,
591679,28021596,28,3.1,7.5,,,,7.75,8.0,,,,,,23.25,
591680,28021597,28,7.0,7.25,7.25,4.0,,,,,,18.25,,,,
591681,28021598,28,4.35,8.5,,,,8.25,8.25,,,,,,25.0,
591682,28021599,28,3.5,8.0,,,,7.0,,,3.5,,,,,15.0
591683,28021600,28,3.85,7.5,,,,6.5,,7.0,,,,,,
591684,28021601,28,4.35,9.25,,,,,,7.5,6.25,,,,,19.85
591685,28021602,28,8.5,6.5,8.25,7.0,,,,,,23.75,,,,
591686,28021603,28,2.7,7.0,,,,5.0,,6.0,,,,,,
591687,28021604,28,5.75,9.0,9.0,7.5,,,,,,22.25,,,,
591688,28021605,28,6.25,9.0,,,,7.25,,,4.5,,,,,19.75
591689,28021606,28,4.6,7.5,,,,6.5,6.5,,,,,,20.5,
591690,28021607,28,3.25,9.25,,,,,9.25,8.75,,,,,,
591691,28021608,28,6.25,9.0,,,,,9.25,,6.0,,,,,21.25
591692,28021609,28,5.25,6.75,3.75,2.95,,,,,,11.95,,,,
591693,28021610,28,2.8,7.0,,,,7.35,,7.5,,,,,,
591694,28021611,28,7.5,7.5,7.75,7.5,,,,,,22.75,,,,
591695,28021612,28,3.0,7.75,,,,8.5,7.6,,,,,,23.85,
591696,28021613,28,4.25,7.0,4.25,3.35,,,,,,11.85,,,,
591697,28021614,28,9.0,7.75,8.5,9.0,,,,,,26.5,,,,
591698,28021615,28,2.6,6.5,,,,,3.25,7.0,,,,,,
591699,28021616,28,8.0,7.5,9.5,8.5,,,,,,26.0,,,,
591700,28021617,28,2.85,8.75,,,,7.5,7.35,,,,,,23.6,
591701,28021618,28,3.5,8.0,,,,,7.0,7.25,,,,,,
591702,28021619,28,4.5,8.25,,,,5.0,6.75,,,,,,20.0,
591703,28021620,28,6.25,8.0,,,,,9.25,,5.5,,,,,19.75
591704,28021621,28,4.35,9.0,,,,9.0,9.25,,,,,,27.25,
591705,28021622,28,5.5,9.0,,,,,8.5,,4.0,,,,,18.5
591706,28021623,28,4.5,7.75,,,,8.0,10.0,,,,,,25.75,
591707,28021624,28,3.1,6.5,,,,4.25,,5.1,,,,,,
591708,28021625,28,7.35,8.5,,,,,8.0,,6.25,,,,,22.1
591709,28021626,28,4.0,7.75,,,,,6.1,7.25,,,,,,
591710,28021627,28,5.5,7.75,4.75,2.35,,,,,,12.6,,,,
591711,28021628,28,3.85,7.5,,,,,3.85,6.25,,,,,,
591712,28021629,28,8.0,8.0,8.75,,,,,,8.5,,25.25,,,24.5
591713,28021630,28,5.35,8.5,4.35,,,,,,4.75,,14.45,,,18.6
591714,28021631,28,9.0,8.5,9.25,7.75,,,,,,26.0,,,,
591715,28021632,28,1.7,5.75,,,,5.0,,4.5,,,,,,
591716,28021633,28,7.25,9.0,6.85,,,,,,5.0,,19.1,,,21.25
591717,28021634,28,8.0,8.25,8.75,8.75,,,,,,25.5,,,,
591718,28021635,28,8.0,8.5,8.0,7.75,,,,,,23.75,,,,
591719,28021636,28,3.6,6.5,,,,8.0,7.1,,,,,,21.6,
591720,28021637,28,8.25,7.75,8.0,6.5,,,,,,22.75,,,,
591721,28021638,28,5.5,6.75,6.25,5.5,,,,,,17.25,,,,
591722,28021639,28,5.1,8.0,,,,8.75,9.25,,,,,,26.0,
591723,28021640,28,2.85,7.75,,,,5.75,6.25,,,,,,19.75,
591724,28021641,28,4.75,8.25,6.25,,,,,,5.75,,16.75,,,18.75
591725,28021642,28,5.5,6.0,,,,6.35,,8.75,,,,,,
591726,28021643,28,5.25,7.75,,,,7.75,8.75,,,,,,24.25,
591727,28021644,28,7.25,9.0,,,,8.25,,,3.75,,,,,20.0
591728,28021645,28,4.25,8.75,,,,5.25,,6.75,,,,,,
591729,28021646,28,3.95,8.5,,,,7.5,,7.5,,,,,,
591730,28021647,28,2.35,7.75,,,,8.25,8.25,,,,,,24.25,
591731,28021648,28,4.5,8.25,,,,5.1,6.75,,,,,,20.1,
591732,28021649,28,6.5,9.25,,,,8.0,,,6.0,,,,,21.75
591733,28021650,28,6.75,7.5,4.85,3.4,,,,,,15.0,,,,
591734,28021651,28,3.1,6.75,4.75,2.7,,,,,,10.55,,,,
591735,28021652,28,7.5,8.5,8.5,6.25,,,,,,22.25,,,,
591736,28021653,28,7.5,8.25,7.5,5.0,,,,,,20.0,,,,
591737,28021654,28,8.25,7.5,9.75,7.5,,,,,,25.5,,,,
591738,28021655,28,3.5,7.25,6.35,,4.5,,,,,,,,,
591739,28021656,28,4.5,7.0,,,,,4.85,6.5,,,,,,
591740,28021657,28,6.5,7.0,9.5,7.25,,,,,,23.25,,,,
591741,28021658,28,5.25,7.5,8.25,,5.5,,,,,,,,,
591742,28021659,28,6.25,6.5,7.0,5.75,,,,,,19.0,,,,
591743,28021660,28,7.0,8.75,,,,,,8.5,5.25,,,,,21.0
591744,28021661,28,6.0,7.25,5.6,5.6,,,,,,17.2,,,,
591745,28021662,28,6.5,8.75,,,,9.75,,,6.25,,,,,21.5
591746,28021663,28,2.85,7.5,,,,,5.5,8.0,,,,,,
591747,28021664,28,1.95,8.0,,,,,3.25,7.5,,,,,,
591748,28021665,28,4.0,8.0,,2.45,,,,,3.25,,,,,15.25
591749,28021666,28,4.25,7.5,4.5,2.7,,,,,,11.45,,,,
591750,28021667,28,4.0,8.75,,,,9.5,9.25,,,,,,27.5,
591751,28021668,28,2.5,7.5,,,,4.35,,6.75,,,,,,
591752,28021669,28,5.5,7.75,,,,,9.25,8.75,,,,,,
591753,28021670,28,5.0,8.5,,,,,,8.1,4.5,,,,,18.0
591754,28021671,28,5.5,7.25,,4.25,5.25,,,,,,,15.0,,
591755,28021672,28,3.0,8.5,,,,7.5,5.25,,,,,,21.25,
591756,28021673,28,5.25,8.75,,,,7.75,,,5.5,,,,,19.5
591757,28021674,28,3.35,8.0,,,,8.25,7.0,,,,,,23.25,
591758,28021675,28,7.0,7.0,,7.0,,,,,5.75,,,,,19.75
591759,28021676,28,5.6,8.0,,,,7.75,8.75,,,,,,24.5,
591760,28021677,28,3.75,7.0,,,,7.25,,8.25,,,,,,
591761,28021678,28,5.75,7.5,6.1,,6.5,,,,,,,,,
591762,28021679,28,9.0,7.75,9.25,,,,,,7.5,,25.75,,,24.25
591763,28021680,28,7.5,7.25,7.75,,,,,,5.5,,20.75,,,20.25
591764,28021681,28,7.75,7.75,10.0,9.0,,,,,,26.75,,,,
591765,28021682,28,4.85,7.25,4.5,5.5,,,,,,14.85,,,,
591766,28021683,28,9.0,8.5,7.0,7.0,,,,,,23.0,,,,
591767,28021684,28,3.85,7.5,4.5,,4.1,,,,,,,,,
591768,28021685,28,9.0,7.75,9.25,,,,,,5.75,,24.0,,,22.5
591769,28021686,28,8.0,5.75,8.25,7.5,,,,,,23.75,,,,
591770,28021687,28,4.25,7.75,4.5,2.75,,,,,,11.5,,,,
591771,28021688,28,8.0,7.75,7.5,7.75,,,,,,23.25,,,,
591772,28021689,28,9.0,8.25,9.5,8.25,,,,,,26.75,,,,
591773,28021690,28,5.85,7.75,6.25,5.1,,,,,,17.2,,,,
591774,28021691,28,5.5,7.75,8.25,6.5,,,,,,20.25,,,,
591775,28021692,28,5.0,9.0,5.25,,,,,,,,,,,
591776,28021693,28,2.75,8.25,,,,6.0,6.75,,,,,,21.0,
591777,28021694,28,6.25,8.75,,,,7.25,,,7.0,,,,,22.0
591778,28021695,28,7.0,9.0,,,,8.0,,,5.75,,,,,21.75
591779,28021696,28,7.0,7.75,6.0,4.75,,,,,,17.75,,,,
591780,28021697,28,8.0,7.25,9.0,,,,,,5.75,,22.75,,,21.0
591781,28021698,28,3.0,6.25,,,,,4.1,7.0,,,,,,
591782,28021699,28,7.25,7.75,,5.5,,,,,5.25,,,,,20.25
591783,28021700,28,6.6,8.75,,,,8.25,,,5.25,,,,,20.6
591784,28021701,28,6.0,6.5,,5.25,7.1,,,,,,,18.35,,
591785,28021702,28,4.0,8.25,,,,6.75,,,4.75,,,,,17.0
591786,28021703,28,3.75,8.25,,,,6.0,6.1,,,,,,20.35,
591787,28021704,28,2.85,8.5,,,,7.25,7.5,,,,,,23.25,
591788,28021705,28,3.75,7.25,,,,8.0,7.0,,,,,,22.25,
591789,28021706,28,4.1,8.0,,,,8.0,,6.35,,,,,,
591790,28021707,28,5.25,7.25,,,,9.0,8.75,,,,,,25.0,
591791,28021708,28,3.35,6.25,5.25,3.6,,,,,,12.2,,,,
591792,28021709,28,2.75,7.75,,,,5.45,5.6,,,,,,18.799999999999997,
591793,28021710,28,3.0,6.75,,,,6.5,,6.5,,,,,,
591794,28021711,28,4.0,7.25,4.75,3.7,,,,,,12.45,,,,
591795,28021712,28,3.2,6.5,5.5,3.5,,,,,,12.2,,,,
591796,28021713,28,7.75,7.75,7.0,8.25,,,,,,23.0,,,,
591797,28021714,28,4.0,8.0,,,,5.35,,6.5,,,,,,
591798,28021715,28,9.0,7.0,10.0,9.75,,,,,,28.75,,,,
591799,28021716,28,7.5,7.5,8.5,8.25,,,,,,24.25,,,,
591800,28021717,28,1.85,7.0,,,,3.25,7.25,,,,,,17.5,
591801,28021718,28,3.35,7.75,,,,,6.0,8.25,,,,,,
591802,28021719,28,4.35,8.5,,,,7.85,9.0,,,,,,25.35,
591803,28021720,28,8.5,8.0,8.0,6.75,,,,,,23.25,,,,
591804,28021721,28,9.0,8.75,,,,,,,,,,,,
591805,28021722,28,5.25,7.5,4.75,6.25,,,,,,16.25,,,,
591806,28021723,28,2.95,7.0,,,,5.75,,7.75,,,,,,
591807,28021724,28,4.1,8.0,,,,6.25,6.5,,,,,,20.75,
591808,28021725,28,8.5,7.0,7.2,8.0,,,,,,23.7,,,,
591809,28021726,28,4.75,6.0,7.25,,4.95,,,,,,,,,
591810,28021727,28,3.6,7.0,,,,6.6,7.25,,,,,,20.85,
591811,28021729,28,9.0,7.0,9.25,9.0,,,,,,27.25,,,,
591812,28021730,28,8.0,7.0,6.75,8.0,,,,,,22.75,,,,
591813,28021731,28,7.0,7.75,5.35,3.35,,,,,,15.7,,,,
591814,28021732,28,6.0,6.5,7.75,5.5,,,,,,19.25,,,,
591815,28021733,28,7.25,7.75,8.25,4.85,,,,,,20.35,,,,
591816,28021734,28,8.5,8.0,,8.5,8.5,,,,,,,25.5,,
591817,28021735,28,4.75,8.25,,,,6.25,,7.25,,,,,,
591818,28021736,28,7.6,8.25,,,,,,9.5,5.0,,,,,20.85
591819,28021737,28,3.75,6.5,,,,5.25,,6.6,,,,,,
591820,28021738,28,4.35,7.75,,,,6.25,,8.75,,,,,,
591821,28021739,28,3.2,8.5,,,,,,8.0,4.25,,,,,15.95
591822,28021740,28,5.0,8.5,,,,8.75,9.0,,,,,,26.25,
591823,28021741,28,8.0,8.25,,6.0,7.35,,,,,,,21.35,,
591824,28021742,28,4.85,8.75,,,,,9.0,,5.0,,,,,18.6
591825,28021743,28,3.75,8.5,5.6,5.35,,,,,,14.7,,,,
591826,28021744,28,4.45,7.5,,,,6.5,,6.5,,,,,,
591827,28021745,28,6.0,8.5,7.75,5.35,,,,,,19.1,,,,
591828,28021746,28,5.6,9.0,,,,,,8.0,3.5,,,,,18.1
591829,28021747,28,8.5,8.5,8.25,,,,,,8.0,,24.75,,,25.0
591830,28021748,28,5.5,8.0,,,,7.5,,7.75,,,,,,
591831,28021749,28,7.5,8.5,,7.5,8.5,,,,,,,23.5,,
591832,28021750,28,1.55,6.5,,,,6.75,,8.25,,,,,,
591833,28021751,28,6.5,8.5,,,,8.0,,,6.25,,,,,21.25
591834,28021752,28,9.0,7.5,9.25,9.25,,,,,,27.5,,,,
591835,28021753,28,6.0,7.75,,5.5,,,,,,,,,,
591836,28021754,28,8.5,9.25,,,,8.25,,,6.75,,,,,24.5
591837,28021755,28,3.25,8.5,,,,4.85,6.5,,,,,,19.85,
591838,28021756,28,8.5,9.25,,,,9.25,,,5.0,,,,,22.75
591839,28021757,28,4.75,9.0,,,,10.0,9.75,,,,,,28.75,
591840,28021758,28,4.7,8.0,,,,5.25,,7.0,,,,,,
591841,28021759,28,3.1,9.0,,,,7.5,6.5,,,,,,23.0,
591842,28021760,28,5.25,8.75,,,,,9.5,,6.0,,,,,20.0
591843,28021761,28,3.6,8.75,,,,,,8.75,,,,,,
591844,28021762,28,5.0,8.0,5.75,5.0,,,,,,15.75,,,,
591845,28021763,28,7.0,8.75,,8.0,5.45,,,,,,,20.45,,
591846,28021764,28,7.0,8.25,,8.5,7.25,,,,,,,22.75,,
591847,28021765,28,4.35,6.75,5.75,3.5,,,,,,13.6,,,,
591848,28021766,28,3.25,8.75,,,,9.75,9.25,,,,,,27.75,
591849,28021767,28,4.5,7.5,4.6,4.25,,,,,,13.35,,,,
591850,28021768,28,4.5,7.25,3.25,,3.85,,,,,,,,,
591851,28021769,28,9.0,8.25,8.5,9.75,,,,,,27.25,,,,
591852,28021770,28,7.5,8.75,6.5,,,,,,4.75,,18.75,,,21.0
591853,28021771,28,7.25,9.0,,,,9.0,8.75,,,,,,26.75,
591854,28021772,28,5.25,8.75,,,,8.75,9.25,,,,,,26.75,
591855,28021773,28,5.35,8.75,,,,9.25,,,5.5,,,,,19.6
591856,28021774,28,2.25,8.0,,,,,2.45,4.75,,,,,,
591857,28021775,28,5.45,9.0,,,,7.5,,,,,,,,
591858,28021776,28,4.75,8.75,,,,9.25,10.0,,,,,,28.0,
591859,28021777,28,4.5,8.25,,,,4.85,6.1,,,,,,19.2,
591860,28021778,28,4.75,8.75,,,,7.25,,9.5,,,,,,
591861,28021779,28,3.1,8.5,,,,7.25,7.35,,,,,,23.1,
591862,28021780,28,8.5,7.5,9.75,9.5,,,,,,27.75,,,,
591863,28021781,28,7.25,6.25,6.85,4.85,,,,,,18.95,,,,
591864,28021782,28,8.0,7.75,9.5,,,,,,,,,,,
591865,28021783,28,3.5,6.5,,,,7.35,,7.5,,,,,,
591866,28021784,28,6.0,8.25,,,,7.6,8.5,,,,,,24.35,
591867,28021785,28,2.0,6.75,,,,,5.25,6.5,,,,,,
591868,28021786,28,4.75,7.5,4.85,5.25,,,,,,14.85,,,,
591869,28021787,28,5.0,9.0,,,,7.5,,,4.75,,,,,18.75
591870,28021788,28,9.5,6.5,9.5,8.75,,,,,,27.75,,,,
591871,28021789,28,4.7,7.25,,,,7.25,,8.25,,,,,,
591872,28021790,28,5.0,7.5,4.75,4.5,,,,,,14.25,,,,
591873,28021791,28,8.5,7.25,8.25,4.6,,,,,,21.35,,,,
591874,28021792,28,7.75,6.75,,9.75,6.75,,,,,,,24.25,,
591875,28021793,28,7.5,6.5,8.75,,,,,,5.25,,21.5,,,19.25
591876,28021794,28,6.0,7.25,6.0,3.45,,,,,,15.45,,,,
591877,28021795,28,6.6,8.25,,3.85,,,,,6.25,,,,,21.1
591878,28021796,28,3.75,7.75,,,,9.0,7.0,,,,,,23.75,
591879,28021797,28,4.5,7.5,5.5,4.6,,,,,,14.6,,,,
591880,28021798,28,3.0,7.0,,,,,4.0,5.5,,,,,,
591881,28021799,28,4.6,7.5,5.1,,3.6,,,,,,,,,
591882,28021800,28,2.95,8.0,,,,,7.5,8.75,,,,,,
591883,28021801,28,6.25,9.25,,,,,9.5,,5.25,,,,,20.75
591884,28021802,28,2.6,8.25,,,,,4.1,6.25,,,,,,
591885,28021803,28,3.0,8.25,,,,4.5,,6.25,,,,,,
591886,28021804,28,6.25,7.25,7.75,8.0,,,,,,22.0,,,,
591887,28021805,28,3.5,9.0,,,,8.25,9.0,,,,,,26.25,
591888,28021806,28,4.25,8.25,,,,,8.75,9.0,,,,,,
591889,28021807,28,3.75,7.5,,,,6.85,,6.25,,,,,,
591890,28021808,28,4.5,8.0,,,,8.25,7.6,,,,,,23.85,
591891,28021809,28,6.25,7.5,7.75,6.75,,,,,,20.75,,,,
591892,28021810,28,5.25,8.75,,,,,3.1,6.75,,,,,,
591893,28021811,28,1.95,8.5,,,,5.5,5.75,,,,,,19.75,
591894,28021812,28,3.35,7.75,,,,8.5,9.0,,,,,,25.25,
591895,28021813,28,6.5,8.75,,,,9.25,,,7.0,,,,,22.25
591896,28021814,28,2.85,7.25,,,,6.5,,8.25,,,,,,
591897,28021815,28,5.0,9.0,,,,9.25,9.5,,,,,,27.75,
591898,28021816,28,6.1,8.5,,,,7.75,,,4.25,,,,,18.85
591899,28021817,28,4.75,9.25,,,,8.25,9.0,,,,,,26.5,
591900,28021818,28,3.35,8.0,,,,5.6,,6.5,,,,,,
591901,28021819,28,5.0,8.25,,,,,4.2,6.6,,,,,,
591902,28021820,28,6.6,7.5,7.75,8.5,,,,,,22.85,,,,
591903,28021821,28,9.0,7.5,9.5,8.5,,,,,,27.0,,,,
591904,28021822,28,7.5,8.5,9.25,9.25,,,,,,26.0,,,,
591905,28021823,28,7.5,7.5,7.6,,,,,,5.0,,20.1,,,20.0
591906,28021824,28,1.85,7.75,,,,,2.6,6.5,,,,,,
591907,28021825,28,3.6,8.25,,,,9.0,9.25,,,,,,26.5,
591908,28021826,28,4.5,8.75,,,,8.0,8.75,,,,,,25.5,
591909,28021827,28,3.75,6.75,,,,8.25,,8.5,,,,,,
591910,28021828,28,8.0,9.0,,,,7.75,,,6.5,,,,,23.5
591911,28021829,28,3.75,9.25,,,,,,9.5,7.0,,,,,20.0
591912,28021830,28,7.0,9.25,,,,,8.75,,7.0,,,,,23.25
591913,28021831,28,5.0,8.5,,,,7.5,7.75,,,,,,23.75,
591914,28021832,28,4.75,8.25,,,,,7.85,7.5,,,,,,
591915,28021833,28,4.5,8.5,,,,7.75,7.35,,,,,,23.6,
591916,28021834,28,2.35,6.5,,,,4.85,,5.75,,,,,,
591917,28021835,28,8.5,7.75,8.5,7.0,,,,,,24.0,,,,
591918,28021836,28,3.5,6.75,,,,9.25,,7.75,,,,,,
591919,28021837,28,3.2,8.5,,,,8.5,8.5,,,,,,25.5,
591920,28021838,28,9.5,8.0,10.0,9.75,,,,,,29.25,,,,
591921,28021839,28,7.0,7.0,6.6,,,,,,5.5,,19.1,,,19.5
591922,28021840,28,4.1,7.0,5.25,,4.0,,,,,,,,,
591923,28021841,28,6.0,8.0,,,,7.75,8.25,,,,,,24.0,
591924,28021842,28,4.35,8.75,,,,7.0,,,4.75,,,,,17.85
591925,28021843,28,3.5,7.5,,,,6.75,,7.5,,,,,,
591926,28021844,28,8.5,8.0,10.0,,,,,,6.25,,24.75,,,22.75
591927,28021845,28,3.85,7.5,,,,7.25,,6.25,,,,,,
591928,28021846,28,7.25,8.0,8.0,7.75,,,,,,23.0,,,,
591929,28021847,28,2.85,6.0,,,,8.0,7.25,,,,,,21.25,
591930,28021848,28,3.0,7.0,,,,9.0,8.25,,,,,,24.25,
591931,28021849,28,6.25,7.75,,5.25,,,,,5.25,,,,,19.25
591932,28021850,28,6.5,8.0,,,,,,9.5,5.75,,,,,20.25
591933,28021851,28,5.25,6.0,7.1,5.6,,,,,,17.95,,,,
