STT,SBD,MA_TINH,TOAN,VAN,LI,HOA,SINH,SU,DIA,KTPL,T_ANH,A00,A01,B00,C00,D01
570470,28000112,28,4.85,9.25,,,,8.1,,,4.5,,,,,18.6
570471,28000113,28,6.25,8.5,,,,9.0,,,5.25,,,,,20.0
570472,28000114,28,4.85,9.0,,,,,10.0,,8.0,,,,,21.85
570473,28000115,28,5.25,8.25,,,,7.0,,,5.5,,,,,19.0
570474,28000116,28,7.5,7.5,7.5,,,,,,6.0,,21.0,,,21.0
570475,28000117,28,5.25,8.0,,,,7.25,,,6.75,,,,,20.0
570476,28000118,28,8.25,7.5,7.0,5.75,,,,,,21.0,,,,
570477,28000119,28,6.5,7.75,,,,7.75,,,6.75,,,,,21.0
570478,28000120,28,6.25,7.0,,,,6.35,,,,,,,,
570479,28000121,28,9.0,7.0,9.5,7.0,,,,,,25.5,,,,
570480,28000122,28,6.25,7.0,6.35,,,,,,5.25,,17.85,,,18.5
570481,28000123,28,5.35,7.75,,,,6.5,,,5.75,,,,,18.85
570482,28000124,28,1.85,8.5,,,,7.25,6.6,,,,,,22.35,
570483,28000125,28,4.75,7.5,7.5,,,,,,6.25,,18.5,,,18.5
570484,28000126,28,6.35,8.0,,,,,,8.5,6.5,,,,,20.85
570485,28000127,28,3.25,8.25,,,,,4.85,7.5,,,,,,
570486,28000128,28,6.0,8.0,,,,6.0,,,5.0,,,,,19.0
570487,28000129,28,6.0,7.75,8.75,,,,,,6.0,,20.75,,,19.75
570488,28000130,28,5.0,8.5,,,,8.0,,,5.25,,,,,18.75
570489,28000131,28,5.25,8.25,,,,8.0,,,6.75,,,,,20.25
570490,28000132,28,4.35,8.0,,,,7.75,,,3.0,,,,,15.35
570491,28000133,28,2.85,8.0,,,,,5.35,8.25,,,,,,
570492,28000134,28,8.0,8.75,7.75,,,,,,6.0,,21.75,,,22.75
570493,28000135,28,5.85,9.0,,,,,8.5,,5.0,,,,,19.85
570494,28000136,28,3.75,7.5,3.35,,,,,,4.25,,11.35,,,15.5
570495,28000137,28,5.5,9.0,,,,8.25,,,5.0,,,,,19.5
570496,28000138,28,7.0,7.25,,,,7.5,,,5.0,,,,,19.25
570497,28000139,28,8.0,8.25,,,,9.0,,,5.5,,,,,21.75
570498,28000140,28,2.1,8.0,,,,5.5,,8.5,,,,,,
570499,28000141,28,4.0,8.75,,,,8.0,,,6.0,,,,,18.75
570500,28000142,28,2.85,8.0,,,,,5.0,7.0,,,,,,
570501,28000143,28,7.75,7.75,7.85,,,,,,8.0,,23.6,,,23.5
570502,28000144,28,5.75,8.25,,,,7.5,,,8.75,,,,,22.75
570503,28000145,28,6.25,7.5,6.25,,,,,,5.5,,18.0,,,19.25
570504,28000146,28,1.45,7.25,,,,,4.85,6.75,,,,,,
570505,28000147,28,8.0,7.5,8.75,,,,,,7.75,,24.5,,,23.25
570506,28000148,28,4.1,7.75,,,,6.75,,,4.75,,,,,16.6
570507,28000149,28,2.1,6.0,,,,,4.25,5.75,,,,,,
570508,28000150,28,5.5,6.0,6.75,,,,,,4.0,,16.25,,,15.5
